Color,Value,Variable,,,
#d699dc,-10,TEMP,,,
#d34dd2,-8,TEMP,,,
#b733c2,-6,TEMP,,,
#932bb1,-4,TEMP,,,
#6d27a3,-2,TEMP,,,
#4b2999,0,TEMP,,,
#2d2e94,2,TEMP,,,
#233c9d,4,TEMP,,,
#2e61b8,6,TEMP,,,
#4197cb,8,TEMP,,,
#54c3c7,10,TEMP,,,
#64e2a9,12,TEMP,,,
#6be98c,14,TEMP,,,
#78ec6d,16,TEMP,,,
#8ff155,18,TEMP,,,
#a4f343,20,TEMP,,,
#c4f137,22,TEMP,,,
#e1eb33,24,TEMP,,,
#f3d62b,26,TEMP,,,
#fdb523,28,TEMP,,,
#fd941f,30,TEMP,,,
#f9741b,32,TEMP,,,
#f5531a,34,TEMP,,,
#ef3b1c,36,TEMP,,,
#e8332c,38,TEMP,,,
#da3d42,40,TEMP,,,
#c44b50,42,TEMP,,,
#b75859,44,TEMP,,,
#a9645f,46,TEMP,,,
#9f6d64,48,TEMP,,,
#b88d76,50,TEMP,,,
#e3bb9b,50,TEMP,,,
#101010,-70,TEMPLEV,,,
#192424,-68,TEMPLEV,,,
#243b3e,-67,TEMPLEV,,,
#2f5259,-66,TEMPLEV,,,
#3b6971,-65,TEMPLEV,,,
#46808d,-64,TEMPLEV,,,
#5198a6,-63,TEMPLEV,,,
#5caec0,-62,TEMPLEV,,,
#68c0d2,-61,TEMPLEV,,,
#83c3d2,-60,TEMPLEV,,,
#92c7d2,-59,TEMPLEV,,,
#a6becd,-58,TEMPLEV,,,
#bdb4c6,-57,TEMPLEV,,,
#c7acc0,-56,TEMPLEV,,,
#d2a0bb,-55,TEMPLEV,,,
#d297b5,-54,TEMPLEV,,,
#d28aaf,-53,TEMPLEV,,,
#d262b9,-52,TEMPLEV,,,
#d23ac6,-51,TEMPLEV,,,
#d21ccd,-50,TEMPLEV,,,
#bd10be,-49,TEMPLEV,,,
#a910a9,-48,TEMPLEV,,,
#881088,-47,TEMPLEV,,,
#721073,-46,TEMPLEV,,,
#511073,-45,TEMPLEV,,,
#331073,-44,TEMPLEV,,,
#181073,-43,TEMPLEV,,,
#1c1c89,-42,TEMPLEV,,,
#2929a0,-41,TEMPLEV,,,
#3b3bc3,-40,TEMPLEV,,,
#414bd2,-39,TEMPLEV,,,
#3d53d2,-38,TEMPLEV,,,
#375cd2,-37,TEMPLEV,,,
#4266d2,-36,TEMPLEV,,,
#5775d2,-35,TEMPLEV,,,
#6c85d2,-34,TEMPLEV,,,
#7e91d2,-33,TEMPLEV,,,
#a2add2,-32,TEMPLEV,,,
#c8cad2,-31,TEMPLEV,,,
#c2c2c2,-30,TEMPLEV,,,
#afafaf,-29,TEMPLEV,,,
#9f9f9f,-28,TEMPLEV,,,
#969696,-27,TEMPLEV,,,
#8a8a8a,-26,TEMPLEV,,,
#777777,-25,TEMPLEV,,,
#636363,-24,TEMPLEV,,,
#5b5b51,-23,TEMPLEV,,,
#61613f,-22,TEMPLEV,,,
#6b6b27,-21,TEMPLEV,,,
#6f6f16,-20,TEMPLEV,,,
#5b6c10,-19,TEMPLEV,,,
#446610,-18,TEMPLEV,,,
#205b10,-17,TEMPLEV,,,
#105c10,-16,TEMPLEV,,,
#106c10,-15,TEMPLEV,,,
#1b7825,-14,TEMPLEV,,,
#247c38,-13,TEMPLEV,,,
#318353,-12,TEMPLEV,,,
#498f4f,-11,TEMPLEV,,,
#5a993b,-10,TEMPLEV,,,
#75a922,-9,TEMPLEV,,,
#87b310,-8,TEMPLEV,,,
#97be26,-7,TEMPLEV,,,
#a0c536,-6,TEMPLEV,,,
#b0cf4e,-5,TEMPLEV,,,
#b7d24a,-4,TEMPLEV,,,
#c4d22f,-3,TEMPLEV,,,
#d0d015,-2,TEMPLEV,,,
#d2be33,-1,TEMPLEV,,,
#d2b245,0,TEMPLEV,,,
#d2a061,0,TEMPLEV,,,
#d2974c,1,TEMPLEV,,,
